pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Kurt Gödel,0.1287878787878788,0.3334184159655858,0.0018461605379838785,0.01993475158426572,0.0021034103531541995,20,31,51
Laptop,0.05303030303030303,0.3192212447051157,7.426837529581512e-05,0.01645806537270836,0.0010396552530852943,8,13,21
Larry Wall,0.27272727272727276,0.37541193421314817,0.0019396148115230637,0.10605232820951345,0.0023332640468280894,47,61,108
Linguagem de computador,0.007575757575757576,0.2920855544822487,4.109814236396514e-06,0.002970160555680552,0.001202059158717475,2,1,3
Linguagem de modelagem,0.09090909090909091,0.3365938294509723,0.0,0.049406662965411435,0.001436377252550679,35,1,36
Linguagem de programação,0.23484848484848486,0.38356041030459637,0.016549792147326926,0.055269169826186286,0.006489227032685958,60,33,93
Linguagens de programação,0.03787878787878788,0.3175821112278108,1.120863607692791e-05,0.009180891416961915,0.0011714103277495227,14,1,15
Linguagens formais,0.005050505050505051,0.29605207845398096,0.0,0.005258395449007886,0.0006442695492740898,2,0,2
Linguística,0.08080808080808081,0.33751223007703224,0.0035641852156917445,0.01939103182732241,0.0037933903833668957,19,13,32
Linguística computacional,0.08585858585858587,0.3303023560032906,0.0005132205193893414,0.010666544054725292,0.0016959324486923364,19,15,34
Linus Torvalds,0.3762626262626263,0.3139549043736861,0.005793003840452018,0.01608338090207023,0.0011168173923296967,14,135,149
Linux (núcleo),0.08080808080808081,0.30318194196870674,0.0004072281091582725,0.004654955988291887,0.0008552126562719972,6,26,32
Lista de etimologias de termos usados em computação,0.10606060606060606,0.3714661631328298,0.0,0.10620897955255977,0.002239890267376371,41,1,42
Lista de termos de computação,0.3207070707070707,0.37484312825221916,0.009270268848916838,0.10808996532200506,0.0046900801014869275,47,80,127
Logaritmo,0.05303030303030303,0.3054277341314378,0.001945479453306248,0.006492663230337083,0.0008226736673780529,6,15,21
Língua alemã,0.10353535353535355,0.3806099456099456,0.005981497864650644,0.027406363602855262,0.03789231353568574,21,20,41
Língua espanhola,0.015151515151515152,0.3187961561841203,0.0,0.005769380735535883,0.002392303245208686,6,0,6
Língua francesa,0.10606060606060606,0.3676024734717157,0.0019490995269177654,0.01918668507069022,0.008090233162561062,18,24,42
Língua grega,0.06060606060606061,0.33386837334205755,0.00017569514298069252,0.009397308704134685,0.004975246241877219,12,12,24
Língua inglesa,0.18686868686868688,0.40690208001063266,0.00561417043004542,0.05145903754343844,0.01506663187267982,50,24,74
Língua italiana,0.06565656565656566,0.35191531244162827,0.0006248193914505524,0.01627348904068419,0.007313822642245988,17,9,26
Língua neerlandesa,0.07070707070707072,0.3196336752538303,0.00039790682721417645,0.006688269656658415,0.005005074613844957,9,19,28
Língua polonesa,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Língua portuguesa,0.11616161616161617,0.3580267216301949,0.001449194150712702,0.02321559625041872,0.006229626655495269,23,23,46
Língua romena,0.04797979797979798,0.32213081334175087,0.002033525996949141,0.007086861488463162,0.0049241619992535955,10,9,19
Língua russa,0.08080808080808081,0.35699345547830397,0.0035012013893879015,0.012296259603429028,0.006421080659053868,8,24,32
Lógica matemática,0.13383838383838384,0.3402977505453434,0.001153892659390342,0.02092956934924065,0.0024852399989956355,32,21,53
MINIX,0.05555555555555556,0.3111905215678801,0.00024249233279544305,0.010360775184382727,0.001008558815754864,10,12,22
Manutenção de software,0.25252525252525254,0.3436062008978676,0.0005682753751503311,0.05167187856804845,0.0015529432799594558,36,64,100
Marvin Minsky,0.31818181818181823,0.38776875336436467,0.0038216340099902525,0.11436125974382827,0.003516579460904862,58,68,126
Matemática discreta,0.1287878787878788,0.32213081334175087,0.004159549695227419,0.014491325920458448,0.002130365398880097,20,31,51
Matemática simbólica,0.05303030303030303,0.30963262158506216,9.925292863818417e-06,0.007618819626078676,0.0012403892590485974,13,8,21
Maurice V. Wilkes,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Mecânica quântica,0.09090909090909091,0.3316306496601403,0.0012174447800716549,0.018581651242362347,0.0016448284314569018,17,19,36
Melhoria de Processos do Software Brasileiro,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
